gene	Kinetic_class	hpi	Time	cell_line	mean	sd	varcoeff	cluster
ORF18, ORF17, ORF16, ORF15	L	8h	8	RK-13	0.00288545345839185	0.000238539468840767	0.0826696643285011	cluster_4
ORF18, ORF17, ORF16, ORF15	L	12h	12	RK-13	0.0677324497781694	0.00120703317092247	0.017820604080845	cluster_4
ORF18, ORF17, ORF16, ORF15	L	18h	18	RK-13	0.129028288211111	0.00189238984561327	0.0146664725375339	cluster_4
ORF18, ORF17, ORF16, ORF15	L	24h	24	RK-13	0.128954966770242	0.000749344852642726	0.00581090338286719	cluster_4
ORF18, ORF17, ORF16, ORF15	L	48h	48	RK-13	0.0739628710740654	4.48348898758043e-05	0.000606181036846275	cluster_4
ORF17	L	1h	1	RK-13	0	0		cluster_1
ORF17	L	2h	2	RK-13	0.00788664812009729	0.00121660289430684	0.154261084782851	cluster_1
ORF17	L	4h	4	RK-13	0.00661488738561446	0.000524046621088355	0.0792223042569116	cluster_1
ORF17	L	6h	6	RK-13	0.00409240650224322	0.000407890770765371	0.0996701502017918	cluster_1
ORF17	L	8h	8	RK-13	0.00382357308420343	0.000215733875541223	0.0564220614567296	cluster_1
ORF17	L	12h	12	RK-13	0.00284651722796949	0.000116797749688868	0.0410318084644736	cluster_1
ORF17	L	18h	18	RK-13	0.00199705267298242	6.38486693027249e-05	0.031971449810271	cluster_1
ORF17	L	24h	24	RK-13	0.00118340463777047	2.15799895911524e-05	0.0182355120999095	cluster_1
ORF17	L	48h	48	RK-13	0.000833814471646549	7.69771699966809e-05	0.0923193019721434	cluster_1
ORF18	L	1h	1	RK-13	0.00854700854700855	0.0148038530561443	1.73205080756888	cluster_2
ORF18	L	2h	2	RK-13	0.011816245451043	0.0034780273165548	0.294342846123579	cluster_2
ORF18	L	4h	4	RK-13	0.0226900896902629	0.000843999737104839	0.037196844464966	cluster_2
ORF18	L	6h	6	RK-13	0.0411492566879917	0.00128801674617914	0.0313010938677542	cluster_2
ORF18	L	8h	8	RK-13	0.0454038854986628	0.00150540016810939	0.0331557564198713	cluster_2
ORF18	L	12h	12	RK-13	0.0269962220754525	0.00103213902201769	0.0382327208278602	cluster_2
ORF18	L	18h	18	RK-13	0.012996770834516	0.000157781264632199	0.0121400359090101	cluster_2
ORF18	L	24h	24	RK-13	0.0083087107993472	0.000172949709133942	0.0208154686461744	cluster_2
ORF18	L	48h	48	RK-13	0.00718195919287998	0.000224846955389455	0.0313071892154947	cluster_2
ORF19	L	1h	1	RK-13	0	0		cluster_4
ORF19	L	2h	2	RK-13	0	0		cluster_4
ORF19	L	4h	4	RK-13	0.000605926101269252	0.000328421348452688	0.54201551602536	cluster_4
ORF19	L	6h	6	RK-13	0.00267458545561582	0.000141183882283827	0.0527872018399649	cluster_4
ORF19	L	8h	8	RK-13	0.00429900190133553	0.000290364562834769	0.0675423201707738	cluster_4
ORF19	L	12h	12	RK-13	0.00598833999875147	0.000137460183856822	0.0229546391630204	cluster_4
ORF19	L	18h	18	RK-13	0.00972602031236798	0.00013787422677586	0.0141758111075024	cluster_4
ORF19	L	24h	24	RK-13	0.0100178211383658	0.000302215598012716	0.0301677973521909	cluster_4
ORF19	L	48h	48	RK-13	0.0122910273145795	0.000656182086150187	0.0533870822475377	cluster_4
ORF22, ORF21, ORF20	E	1h	1	RK-13	0.00854700854700855	0.0148038530561443	1.73205080756888	cluster_1
ORF22, ORF21, ORF20	E	2h	2	RK-13	0.0313532378520944	0.000871808706372161	0.0278060183284683	cluster_1
ORF22, ORF21, ORF20	E	4h	4	RK-13	0.0325871519624516	0.000893724291674917	0.0274256643447917	cluster_1
ORF22, ORF21, ORF20	E	6h	6	RK-13	0.0327728056696183	0.000445058305781386	0.0135801099932672	cluster_1
