gene	Kinetic_class	hpi	Time	cell_line	mean	sd	varcoeff	cluster
ORF62, ORF61, ORF60,ORF59	E/L	12h	12	RK-13	12706.3333333333	2741.11187902525	0.215728000133155	cluster_3
ORF62, ORF61, ORF60,ORF59	E/L	18h	18	RK-13	20476	2738.25911849116	0.133730177695407	cluster_3
ORF62, ORF61, ORF60,ORF59	E/L	24h	24	RK-13	16299.3333333333	2373.02704016059	0.145590435610491	cluster_3
ORF62, ORF61, ORF60,ORF59	E/L	48h	48	RK-13	23745.5	1563.41309320346	0.0658403947359903	cluster_3
ORF63	E	1h	1	RK-13	0.333333333333333	0.577350269189626	1.73205080756888	cluster_1
ORF63	E	2h	2	RK-13	367.333333333333	37.5011110946507	0.102090139096145	cluster_1
ORF63	E	4h	4	RK-13	513.333333333333	55.5367746032603	0.108188521954403	cluster_1
ORF63	E	6h	6	RK-13	558.333333333333	22.722969289539	0.0406978554439505	cluster_1
ORF63	E	8h	8	RK-13	323	89.3532316147547	0.276635391996145	cluster_1
ORF63	E	12h	12	RK-13	694.666666666667	133.605139621698	0.192329855501484	cluster_1
ORF63	E	18h	18	RK-13	1105.66666666667	126.159951384476	0.114103061246134	cluster_1
ORF63	E	24h	24	RK-13	862.333333333333	150.603231483701	0.174646190356051	cluster_1
ORF63	E	48h	48	RK-13	2242	137.17871555019	0.0611858677743935	cluster_1
ORF64_1	IE	1h	1	RK-13	18.6666666666667	5.03322295684717	0.269636944116812	cluster_11
ORF64_1	IE	2h	2	RK-13	107	14.422205101856	0.134786963568747	cluster_11
ORF64_1	IE	4h	4	RK-13	128	15.0996688705415	0.117966163051105	cluster_11
ORF64_1	IE	6h	6	RK-13	277.666666666667	19.8578280114753	0.0715167875563336	cluster_11
ORF64_1	IE	8h	8	RK-13	462.333333333333	220.663393732022	0.477282034027445	cluster_11
ORF64_1	IE	12h	12	RK-13	684.333333333333	73.1869751617959	0.10694638357788	cluster_11
ORF64_1	IE	18h	18	RK-13	449	88.3855191759374	0.196849708632377	cluster_11
ORF64_1	IE	24h	24	RK-13	209.333333333333	29.2631736715848	0.139792230915214	cluster_11
ORF64_1	IE	48h	48	RK-13	312	18.3847763108502	0.058925565098879	cluster_11
ORF65_1	E	1h	1	RK-13	1.66666666666667	0.577350269189626	0.346410161513775	cluster_12
ORF65_1	E	2h	2	RK-13	792	142.43946082459	0.179847804071452	cluster_12
ORF65_1	E	4h	4	RK-13	1462.66666666667	174.749344300153	0.119473115975492	cluster_12
ORF65_1	E	6h	6	RK-13	2991.33333333333	109.546032942016	0.0366211387147369	cluster_12
ORF65_1	E	8h	8	RK-13	1948.33333333333	746.375464048312	0.383084070512393	cluster_12
ORF65_1	E	12h	12	RK-13	1721.33333333333	183.919366390093	0.106847037019806	cluster_12
ORF65_1	E	18h	18	RK-13	934.333333333333	153.656543412031	0.164455808147018	cluster_12
ORF65_1	E	24h	24	RK-13	375	92.7739187487518	0.247397116663338	cluster_12
ORF65_1	E	48h	48	RK-13	863	31.1126983722081	0.0360517941740534	cluster_12
ORF66_1	unknown	1h	1	RK-13	0	0		cluster_3
ORF66_1	unknown	2h	2	RK-13	0.666666666666667	1.15470053837925	1.73205080756888	cluster_3
ORF66_1	unknown	4h	4	RK-13	6.33333333333333	2.3094010767585	0.364642275277658	cluster_3
