gene	Kinetic_class	hpi	Time	cell_line	mean	sd	varcoeff	best_label	labels	norm.method	EndType
ORF21	E	2h	2	RK-13	0.00761180847551906	0.00213386623631422	0.280336301573683	1	1	viral_read.count	TSS
ORF21	E	48h	48	RK-13	0.000431253690073255	0.000108987097074994	0.252721540902018	1	1	viral_read.count	TSS
ORF21	E	4h	4	RK-13	0.00570316333595169	0.000421810365625736	0.0739607724307528	1	1	viral_read.count	TSS
ORF21	E	6h	6	RK-13	0.000745867522460792	0.000372620035807731	0.499579381842998	1	1	viral_read.count	TSS
ORF21	E	8h	8	RK-13	0.00433768557138911	0.000654352273954306	0.150852859937645	1	1	viral_read.count	TSS
ORF22	L	12h	12	RK-13	0.00875983742413	0.000330393266545147	0.0377168263003421	4	4	viral_read.count	TSS
ORF22	L	18h	18	RK-13	0.00471769083203871	8.27367203422401e-05	0.0175375460766441	4	4	viral_read.count	TSS
ORF22	L	1h	1	RK-13	0	0		4	4	viral_read.count	TSS
ORF22	L	24h	24	RK-13	0.0081069179792908	0.000420636584027122	0.0518861280084049	4	4	viral_read.count	TSS
ORF22	L	2h	2	RK-13	0.00239430393935784	0.00103916431716212	0.434015205872663	4	4	viral_read.count	TSS
ORF22	L	48h	48	RK-13	0.00581167468411261	0.00117988662537633	0.203020074162407	4	4	viral_read.count	TSS
ORF22	L	4h	4	RK-13	0.00494275239067936	0.00183103765773538	0.370448995419678	4	4	viral_read.count	TSS
ORF22	L	6h	6	RK-13	0.00331773663732657	0.000717028404641586	0.216119747593759	4	4	viral_read.count	TSS
ORF22	L	8h	8	RK-13	0.00869065423970602	0.000392455615126336	0.0451583510632926	4	4	viral_read.count	TSS
ORF23	L	12h	12	RK-13	0.00162159708525533	1.97000192972375e-05	0.0121485290497644	4	4	viral_read.count	TSS
ORF23	L	18h	18	RK-13	0.000396732283780716	0.000106451121274836	0.268319785474465	4	4	viral_read.count	TSS
ORF23	L	1h	1	RK-13	0	0		4	4	viral_read.count	TSS
ORF23	L	24h	24	RK-13	0.00150909014031899	0.000249457430401124	0.165303200740808	4	4	viral_read.count	TSS
ORF23	L	2h	2	RK-13	0.000501268027122679	0.000462117262421543	0.921896545195861	4	4	viral_read.count	TSS
ORF23	L	48h	48	RK-13	0.000930636842911986	0.000257577504511092	0.276775529007776	4	4	viral_read.count	TSS
ORF23	L	4h	4	RK-13	0.000103167234086454	0.00017869089111409	1.73205080756888	4	4	viral_read.count	TSS
ORF23	L	6h	6	RK-13	0.000286615318966672	8.89597877997332e-05	0.310380436469544	4	4	viral_read.count	TSS
ORF23	L	8h	8	RK-13	0.00201942623922174	0.000325440191683744	0.161154780186061	4	4	viral_read.count	TSS
ORF24	L	12h	12	RK-13	0.000280759211803156	3.70687902263057e-05	0.132030539579571	4	4	viral_read.count	TSS
ORF24	L	18h	18	RK-13	5.38328237697786e-05	7.97486207488754e-06	0.148141255026726	4	4	viral_read.count	TSS
ORF24	L	1h	1	RK-13	0	0		4	4	viral_read.count	TSS
ORF24	L	24h	24	RK-13	0.000158616968718083	3.7827087784476e-05	0.238480712941297	4	4	viral_read.count	TSS
ORF24	L	2h	2	RK-13	0	0		4	4	viral_read.count	TSS
ORF24	L	48h	48	RK-13	0.000213503746070744	3.93566773498941e-05	0.184337174753146	4	4	viral_read.count	TSS
ORF24	L	4h	4	RK-13	0	0		4	4	viral_read.count	TSS
ORF24	L	6h	6	RK-13	0	0		4	4	viral_read.count	TSS
ORF24	L	8h	8	RK-13	0.00022073123419669	0.000117870109903427	0.533998327569696	4	4	viral_read.count	TSS
ORF25	L	12h	12	RK-13	0.159194207162651	0.00890136619695391	0.0559151388458455	4	4	viral_read.count	TSS
ORF25	L	18h	18	RK-13	0.132886235729082	0.00523686578447304	0.0394086396965111	4	4	viral_read.count	TSS
ORF25	L	1h	1	RK-13	0.0892857142857143	0.0778374811346549	0.871779788708135	4	4	viral_read.count	TSS
ORF25	L	24h	24	RK-13	0.138990932999322	0.00231874346270497	0.0166826958612924	4	4	viral_read.count	TSS
ORF25	L	2h	2	RK-13	0.000776938329992443	0.000373782531854483	0.481096783908343	4	4	viral_read.count	TSS
ORF25	L	48h	48	RK-13	0.0938076503611658	0.0465130146816496	0.495833916557673	4	4	viral_read.count	TSS
ORF25	L	4h	4	RK-13	0.000685512841150073	0.000341121718578877	0.497615359045038	4	4	viral_read.count	TSS
