gene	Kinetic_class	hpi	Time	cell_line	seqnames	strand	norm_base	sample	group	read_count	mean	sd	varcoeff	dist_from_mean	farthest_from_mean	farthest_rep	cluster
ORF4	unknown	18h	18	RK-13	NC_001491.2	-	54584	EHV-1_18h_1	RK-13_18h	0.000183203869265719	0.000126482115887873	4.98509982862623e-05	0.394134759181727	5.67217533778456e-05	TRUE	1	cluster_1
ORF4	unknown	18h	18	RK-13	NC_001491.2	-	37519	EHV-1_18h_2	RK-13_18h	0.000106612649590874	0.000126482115887873	4.98509982862623e-05	0.394134759181727	1.98694662969993e-05	FALSE	NA	cluster_1
ORF4	unknown	18h	18	RK-13	NC_001491.2	-	33471	EHV-1_18h_3	RK-13_18h	8.9629828807027e-05	0.000126482115887873	4.98509982862623e-05	0.394134759181727	3.68522870808463e-05	FALSE	NA	cluster_1
ORF4	unknown	24h	24	RK-13	NC_001491.2	-	44330	EHV-1_24h_1	RK-13_24h	0.000112790435371081	0.000183143477904758	8.38375192212855e-05	0.457769614186776	7.03530425336776e-05	FALSE	NA	cluster_1
ORF4	unknown	24h	24	RK-13	NC_001491.2	-	31108	EHV-1_24h_2	RK-13_24h	0.000160730358750161	0.000183143477904758	8.38375192212855e-05	0.457769614186776	2.24131191545975e-05	FALSE	NA	cluster_1
ORF4	unknown	24h	24	RK-13	NC_001491.2	-	28995	EHV-1_24h_3	RK-13_24h	0.000275909639593033	0.000183143477904758	8.38375192212855e-05	0.457769614186776	9.27661616882751e-05	TRUE	3	cluster_1
ORF4	unknown	48h	48	RK-13	NC_001491.2	-	62015	EHV-1_48h_1	RK-13_48h	0.000193501572200274	0.000188302821988535	7.35214305683128e-06	0.0390442531831993	3.13390042338007e-05	FALSE	NA	cluster_1
ORF4	unknown	48h	48	RK-13	NC_001491.2	-	43691	EHV-1_48h_2	RK-13_48h	0.000183104071776796	0.000188302821988535	7.35214305683128e-06	0.0390442531831993	2.09415038103227e-05	FALSE	NA	cluster_1
ORF5	E	1h	1	RK-13	NC_001491.2	-	7	EHV-1_1h_1	RK-13_1h	0	0	0		0		NA	cluster_3
ORF5	E	1h	1	RK-13	NC_001491.2	-	10	EHV-1_1h_2	RK-13_1h	0	0	0		0		NA	cluster_3
ORF5	E	1h	1	RK-13	NC_001491.2	-	3	EHV-1_1h_3	RK-13_1h	0	0	0		0		NA	cluster_3
ORF5	E	2h	2	RK-13	NC_001491.2	-	1972	EHV-1_2h_1	RK-13_2h	0.0796146044624747	0.092086579135032	0.0112414606028194	0.122074907205917	0.0124719746725574	TRUE	1	cluster_3
ORF5	E	2h	2	RK-13	NC_001491.2	-	1523	EHV-1_2h_2	RK-13_2h	0.0952068286277085	0.092086579135032	0.0112414606028194	0.122074907205917	0.00312024949267645	FALSE	NA	cluster_3
ORF5	E	2h	2	RK-13	NC_001491.2	-	1321	EHV-1_2h_3	RK-13_2h	0.101438304314913	0.092086579135032	0.0112414606028194	0.122074907205917	0.00935172517988092	FALSE	NA	cluster_3
ORF5	E	4h	4	RK-13	NC_001491.2	-	1840	EHV-1_4h_1	RK-13_4h	0.0679347826086957	0.0684476085689648	0.00315445627928486	0.0460857047490062	0.000512825960269123	FALSE	NA	cluster_3
ORF5	E	4h	4	RK-13	NC_001491.2	-	2272	EHV-1_4h_2	RK-13_4h	0.065580985915493	0.0684476085689648	0.00315445627928486	0.0460857047490062	0.00286662265347182	FALSE	NA	cluster_3
ORF5	E	4h	4	RK-13	NC_001491.2	-	2868	EHV-1_4h_3	RK-13_4h	0.0718270571827057	0.0684476085689648	0.00315445627928486	0.0460857047490062	0.00337944861374094	TRUE	3	cluster_3
ORF5	E	6h	6	RK-13	NC_001491.2	-	12998	EHV-1_6h_1	RK-13_6h	0.0100784736113248	0.0103709174989577	0.000967599822058428	0.0932993461914703	0.000292443887632839	FALSE	NA	cluster_3
ORF5	E	6h	6	RK-13	NC_001491.2	-	12226	EHV-1_6h_2	RK-13_6h	0.0114510060526746	0.0103709174989577	0.000967599822058428	0.0932993461914703	0.00108008855371697	TRUE	2	cluster_3
ORF5	E	6h	6	RK-13	NC_001491.2	-	13774	EHV-1_6h_3	RK-13_6h	0.00958327283287353	0.0103709174989577	0.000967599822058428	0.0932993461914703	0.000787644666084129	FALSE	NA	cluster_3
ORF5	E	8h	8	RK-13	NC_001491.2	-	13636	EHV-1_8h_1	RK-13_8h	0.00909357582868877	0.00778434979525971	0.00124041643857923	0.159347469114836	0.00130922603342906	TRUE	1	cluster_3
ORF5	E	8h	8	RK-13	NC_001491.2	-	19521	EHV-1_8h_2	RK-13_8h	0.00763280569642949	0.00778434979525971	0.00124041643857923	0.159347469114836	0.000151544098830223	FALSE	NA	cluster_3
ORF5	E	8h	8	RK-13	NC_001491.2	-	22334	EHV-1_8h_3	RK-13_8h	0.00662666786066088	0.00778434979525971	0.00124041643857923	0.159347469114836	0.00115768193459883	FALSE	NA	cluster_3
ORF5	E	12h	12	RK-13	NC_001491.2	-	64872	EHV-1_12h_1	RK-13_12h	0.00400789246516217	0.00412083294114207	0.000246160235988893	0.0597355533468123	0.0001129404759799	FALSE	NA	cluster_3
ORF5	E	12h	12	RK-13	NC_001491.2	-	44286	EHV-1_12h_2	RK-13_12h	0.00440319739872646	0.00412083294114207	0.000246160235988893	0.0597355533468123	0.000282364457584394	TRUE	2	cluster_3
ORF5	E	12h	12	RK-13	NC_001491.2	-	44288	EHV-1_12h_3	RK-13_12h	0.00395140895953757	0.00412083294114207	0.000246160235988893	0.0597355533468123	0.000169423981604493	FALSE	NA	cluster_3
